Rule,Support,Confidence,Lift
13199838-black -> 3526951-1545-black-silver-china,0.00032754667540124465,0.125,127.20833333333334
26112260-green -> 16058326-army-camouflage,0.00032754667540124465,1.0,29.076190476190472
26256057-green -> 17666567-black,0.00032754667540124465,0.125,9.78525641025641
4587952-army-green-30-40 -> 18379073-army-green-l,0.00032754667540124465,1.0,101.76666666666667
18379073-black-l -> 4587952-40l-army-green-30-40l-china,0.00032754667540124465,0.3333333333333333,339.22222222222223
4587952-black-30-40l -> 18379073-black-m,0.00032754667540124465,0.16666666666666666,26.780701754385962
4587952-gray-30-40l -> 18379073-black-m,0.00032754667540124465,0.16666666666666666,28.26851851851852
19040980-sunglasses -> preto,0.00032754667540124465,0.3333333333333333,78.28205128205127
19768167-od -> 19768167-tan,0.0006550933508024893,0.19999999999999998,87.22857142857143
4587952-black-30-40l -> 19768167-white,0.00032754667540124465,0.25,40.171052631578945
verde-oliva -> 22471597-01-3l,0.00032754667540124465,0.5,101.76666666666667
4587952-green-30-40l -> 22491228-armygreen,0.00032754667540124465,0.16666666666666666,28.26851851851852
23784889-grey-11 -> 4587952-40l-gray-30-40l-china,0.00032754667540124465,1.0,1526.5
26112260-green -> 4587952-40l-gray-30-40l-china,0.00032754667540124465,0.5,14.538095238095236
3526951-1545-black-china -> 8055270-army-green,0.00032754667540124465,0.19999999999999998,23.48461538461538
